Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Extensions Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs
Sun Aug 23 2020,0,0,7.2,395,19,0,0,4,15.82,87,14,1713,238,55,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Mon Aug 24 2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0035,0.8,0,0,0,0,0,0,0
Tue Aug 25 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 26 2020,0,0,2.81,104,6,0,0,0,0,19,6,309,110,16,0,0,0,0,0.0035,0,0,0,0,0,0,0,0
Thu Aug 27 2020,0,0,7.29,180,12,0,0,1,0,26,11,561,77,13,0,0,0,0,0.014,0,0,0,0,0,0,0,0
Fri Aug 28 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.495,7.225,9.48,0,0,1,0,0,0,0,3,3
Sat Aug 29 2020,0,0,3.8,306,15,1,1,0,0,57,7,639,168,19,0,0,0,0,0.0175,0,0,0,0,0,0,0,0
Sun Aug 30 2020,0,0,6.74,299,18,4,0,5,0,65,11,1369,203,36,0,0,12.12,0,0.063,0.8,0,0,0,0,0,5,5
Mon Aug 31 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0,0
Tue Sep 01 2020,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 02 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 03 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 04 2020,0,0,5.61,665,15,0,1,2,1.81,86,11,1049,187,37,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Sat Sep 05 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,2.33,0.11,0,0.8,0,1,1,0,0,1,1
Sun Sep 06 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 07 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 08 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 09 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 10 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 11 2020,0,0,0.98,46,4,0,0,1,0,7,1,46,47,6,7.07,0,0,0,0,0,0,3,3,0,0,0,0
Sat Sep 12 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0,0
Sun Sep 13 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 14 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 15 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 16 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
